Datum;BundeslandID;Name;BestaetigteFaelleBundeslaender;Todesfaelle;Genesen;Hospitalisierung;Intensivstation;Testungen;TestungenPCR;TestungenAntigen
2021-03-09T09:30:00+01:00;1;Burgenland;13457;245;12170;71;11;716398;161608;554790
2021-03-09T09:30:00+01:00;2;Kärnten;30468;702;28403;99;15;763750;227722;536028
2021-03-09T09:30:00+01:00;3;Niederösterreich;78695;1397;71392;394;82;3824765;1209202;2615563
2021-03-09T09:30:00+01:00;4;Oberösterreich;89066;1528;84825;146;26;2517626;562396;1955230
2021-03-09T09:30:00+01:00;5;Salzburg;38795;505;36361;93;14;982741;284782;697959
2021-03-09T09:30:00+01:00;6;Steiermark;58430;1781;53565;242;38;2066437;526879;1539558
2021-03-09T09:30:00+01:00;7;Tirol;49147;585;47158;93;22;1645194;605377;1039817
2021-03-09T09:30:00+01:00;8;Vorarlberg;24187;278;23486;28;4;926254;306739;619515
2021-03-09T09:30:00+01:00;9;Wien;97146;1736;89681;445;126;3607954;1893903;1714051
2021-03-09T09:30:00+01:00;10;Österreich;479391;8757;447041;1611;338;17051119;5778608;11272511
2021-03-10T09:30:00+01:00;1;Burgenland;13570;245;12214;71;10;725692;162864;562828
2021-03-10T09:30:00+01:00;2;Kärnten;30647;705;28500;99;15;780153;228854;551299
2021-03-10T09:30:00+01:00;3;Niederösterreich;79242;1401;71880;379;75;3885068;1214172;2670896
2021-03-10T09:30:00+01:00;4;Oberösterreich;89528;1531;85068;152;25;2560979;564876;1996103
2021-03-10T09:30:00+01:00;5;Salzburg;39025;505;36490;103;13;1001876;286638;715238
2021-03-10T09:30:00+01:00;6;Steiermark;58715;1785;53809;246;34;2117895;529564;1588331
2021-03-10T09:30:00+01:00;7;Tirol;49258;585;47272;87;19;1656543;608527;1048016
2021-03-10T09:30:00+01:00;8;Vorarlberg;24242;278;23546;25;4;940650;308199;632451
2021-03-10T09:30:00+01:00;9;Wien;97692;1741;90274;443;120;3660447;1924329;1736118
2021-03-10T09:30:00+01:00;10;Österreich;481919;8776;449053;1605;315;17329303;5828023;11501280
2021-03-11T09:30:00+01:00;1;Burgenland;13704;245;12289;76;12;735955;163979;571976
2021-03-11T09:30:00+01:00;2;Kärnten;30822;707;28582;91;15;780828;229447;551381
2021-03-11T09:30:00+01:00;3;Niederösterreich;79893;1406;72269;389;76;3930268;1226953;2703315
2021-03-11T09:30:00+01:00;4;Oberösterreich;89976;1536;85315;152;28;2617695;567105;2050590
2021-03-11T09:30:00+01:00;5;Salzburg;39279;505;36635;100;13;1023271;288373;734898
2021-03-11T09:30:00+01:00;6;Steiermark;59032;1787;54062;246;39;2145853;532499;1613354
2021-03-11T09:30:00+01:00;7;Tirol;49476;585;47396;86;21;1669705;612427;1057278
2021-03-11T09:30:00+01:00;8;Vorarlberg;24292;278;23579;19;4;953849;309421;644428
2021-03-11T09:30:00+01:00;9;Wien;98442;1749;90735;437;121;3691533;1948622;1742911
2021-03-11T09:30:00+01:00;10;Österreich;484916;8798;450862;1596;329;17548957;5878826;11670131
2021-03-12T09:30:00+01:00;1;Burgenland;13814;247;12354;73;15;745729;164996;580733
2021-03-12T09:30:00+01:00;2;Kärnten;31021;711;28782;92;17;782016;230545;551471
2021-03-12T09:30:00+01:00;3;Niederösterreich;80525;1420;72633;396;79;4004202;1237497;2766705
2021-03-12T09:30:00+01:00;4;Oberösterreich;90441;1538;85588;161;30;2658827;569777;2089050
2021-03-12T09:30:00+01:00;5;Salzburg;39467;507;36824;100;17;1042456;289875;752581
2021-03-12T09:30:00+01:00;6;Steiermark;59357;1791;54252;233;42;2174570;533535;1641035
2021-03-12T09:30:00+01:00;7;Tirol;49678;585;47528;92;24;1762040;616766;1145274
2021-03-12T09:30:00+01:00;8;Vorarlberg;24328;278;23613;17;4;968333;310843;657490
2021-03-12T09:30:00+01:00;9;Wien;99411;1754;91504;445;120;3768674;1982707;1785967
2021-03-12T09:30:00+01:00;10;Österreich;488042;8831;453078;1609;348;17906847;5936541;11970306
2021-03-13T09:30:00+01:00;1;Burgenland;13934;247;12436;74;15;765111;165863;599248
2021-03-13T09:30:00+01:00;2;Kärnten;31223;715;28945;90;16;783011;231450;551561
2021-03-13T09:30:00+01:00;3;Niederösterreich;81170;1428;73245;385;82;4079284;1250051;2829233
2021-03-13T09:30:00+01:00;4;Oberösterreich;90871;1538;85912;172;34;2699892;572111;2127781
2021-03-13T09:30:00+01:00;5;Salzburg;39728;511;36970;99;18;1065238;291240;773998
2021-03-13T09:30:00+01:00;6;Steiermark;59787;1793;54453;235;38;2215308;539493;1675815
2021-03-13T09:30:00+01:00;7;Tirol;49867;585;47651;97;25;1780612;620933;1159679
2021-03-13T09:30:00+01:00;8;Vorarlberg;24356;278;23655;16;4;982335;312309;670026
2021-03-13T09:30:00+01:00;9;Wien;100129;1761;92004;471;128;3807817;1994653;1813164
2021-03-13T09:30:00+01:00;10;Österreich;491065;8856;455271;1639;360;18178608;5978103;12200505
2021-03-14T09:30:00+01:00;1;Burgenland;14013;248;12497;74;15;772126;166899;605227
2021-03-14T09:30:00+01:00;2;Kärnten;31352;716;29112;96;16;783426;231848;551578
2021-03-14T09:30:00+01:00;3;Niederösterreich;81839;1434;73772;380;87;4130698;1259580;2871118
2021-03-14T09:30:00+01:00;4;Oberösterreich;91266;1542;86314;184;35;2722516;574282;2148234
2021-03-14T09:30:00+01:00;5;Salzburg;39899;511;37116;100;16;1075448;292294;783154
2021-03-14T09:30:00+01:00;6;Steiermark;60080;1795;54652;231;36;2243171;541719;1701452
2021-03-14T09:30:00+01:00;7;Tirol;50029;585;47762;101;25;1794959;624658;1170301
2021-03-14T09:30:00+01:00;8;Vorarlberg;24382;278;23710;17;4;990424;313553;676871
2021-03-14T09:30:00+01:00;9;Wien;100708;1764;92331;478;126;3833275;1999834;1833441
2021-03-14T09:30:00+01:00;10;Österreich;493568;8873;457266;1661;360;18346043;6004667;12341376
